dataset;num_classes;arch;attack_type;pruning_rate;;batch_size;wm_batch_size;;trg_set_size;;save_file;wm_type;method;cuda;test_acc;wm_acc;attack_time
cifar10;10;resnet50;pruning;0.9;0.1;64;32;1;100;wm_protecting_noise_resnet50_200_SGD_CosineAnnealingLR_100;save_results_pruning_resnet50.csv;noise;ProtectingIPP;cuda:0;90.18429565;94;0.275790691
cifar10;10;resnet50;pruning;0.1;0.1;64;32;1;500;wm_protecting_noise_resnet50_192_SGD_CosineAnnealingLR_500;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;94.0504837;100;0.269061804
cifar10;10;resnet50;pruning;0.2;0.1;64;32;1;500;wm_protecting_noise_resnet50_192_SGD_CosineAnnealingLR_500;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;94.0504837;100;0.29059267
cifar10;10;resnet50;pruning;0.3;0.1;64;32;1;500;wm_protecting_noise_resnet50_192_SGD_CosineAnnealingLR_500;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;94.0504837;100;0.307154417
cifar10;10;resnet50;pruning;0.4;0.1;64;32;1;500;wm_protecting_noise_resnet50_192_SGD_CosineAnnealingLR_500;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;94.06049347;100;0.286689997
cifar10;10;resnet50;pruning;0.5;0.1;64;32;1;500;wm_protecting_noise_resnet50_192_SGD_CosineAnnealingLR_500;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;94.09054565;100;0.290427685
cifar10;10;resnet50;pruning;0.6;0.1;64;32;1;500;wm_protecting_noise_resnet50_192_SGD_CosineAnnealingLR_500;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;94.09054565;100;0.31274581
cifar10;10;resnet50;pruning;0.7;0.1;64;32;1;500;wm_protecting_noise_resnet50_192_SGD_CosineAnnealingLR_500;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;93.98036957;100;0.333525658
cifar10;10;resnet50;pruning;0.8;0.1;64;32;1;500;wm_protecting_noise_resnet50_192_SGD_CosineAnnealingLR_500;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;93.67988586;100;0.316709995
cifar10;10;resnet50;pruning;0.9;0.1;64;32;1;500;wm_protecting_noise_resnet50_192_SGD_CosineAnnealingLR_500;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;89.18269348;77.80000305;0.329414368
mnist;10;simplenet_mnist;pruning;0.1;0.1;64;32;1;12;wm_protecting_noise_simplenet_mnist_24_SGD_MultiStepLR_12;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;99.57933044;100;0.067265987
