dataset;num_classes;arch;attack_type;pruning_rates;lr;batch_size;wm_batch_size;num_epochs;patience;;;;trg_set_size;loadmodel;save_file;wm_type;method;;;;;;cuda;pruning_rate;test_acc;wm_acc;attack_time
mnist;10;lenet1;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;120;wm_exponential_exponentialnew_lenet1_50_ADAM_MultiStepLR_120;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.4;96.4943924;94.16666412;0.002377272
mnist;10;lenet1;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;120;wm_exponential_exponentialnew_lenet1_50_ADAM_MultiStepLR_120;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.5;93.18910217;72.5;0.004015207
mnist;10;lenet1;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;120;wm_exponential_exponentialnew_lenet1_50_ADAM_MultiStepLR_120;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.6;87.21955109;62.5;0.001339674
mnist;10;lenet1;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;120;wm_exponential_exponentialnew_lenet1_50_ADAM_MultiStepLR_120;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.7;66.52644348;38.33333206;0.001216173
mnist;10;lenet1;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;120;wm_exponential_exponentialnew_lenet1_50_ADAM_MultiStepLR_120;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.8;40.90544891;21.66666603;0.001898766
mnist;10;lenet1;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;120;wm_exponential_exponentialnew_lenet1_50_ADAM_MultiStepLR_120;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.9;7.151442528;9.166666985;0.001093388
mnist;10;lenet1;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;600;wm_exponential_exponentialnew_lenet1_50_ADAM_MultiStepLR_600;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.1;94.1306076;99.66666412;0.00360918
mnist;10;lenet1;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;600;wm_exponential_exponentialnew_lenet1_50_ADAM_MultiStepLR_600;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.2;93.69992065;97.83333588;0.001078606
mnist;10;lenet1;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;600;wm_exponential_exponentialnew_lenet1_50_ADAM_MultiStepLR_600;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.3;90.29447174;81.16666412;0.001006603
mnist;10;lenet1;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;600;wm_exponential_exponentialnew_lenet1_50_ADAM_MultiStepLR_600;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.4;82.94271088;56.5;0.001259565
mnist;10;lenet1;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;600;wm_exponential_exponentialnew_lenet1_50_ADAM_MultiStepLR_600;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.5;64.17267609;38.66666794;0.001193047
mnist;10;lenet1;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;600;wm_exponential_exponentialnew_lenet1_50_ADAM_MultiStepLR_600;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.6;56.00961685;29.16666603;0.001163244
mnist;10;lenet1;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;600;wm_exponential_exponentialnew_lenet1_50_ADAM_MultiStepLR_600;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.7;45.04206848;26.66666603;0.001269102
mnist;10;lenet1;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;600;wm_exponential_exponentialnew_lenet1_50_ADAM_MultiStepLR_600;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.8;27.67427826;19;0.001254559
mnist;10;lenet1;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;600;wm_exponential_exponentialnew_lenet1_50_ADAM_MultiStepLR_600;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.9;12.80048084;10.16666698;0.001325607
mnist;10;lenet3;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;24;wm_exponential_exponentialnew_lenet3_50_SGD_MultiStepLR_24;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.1;99.2087326;100;0.004748106
mnist;10;lenet3;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;24;wm_exponential_exponentialnew_lenet3_50_SGD_MultiStepLR_24;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.2;99.2087326;100;0.002223969
mnist;10;lenet3;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;24;wm_exponential_exponentialnew_lenet3_50_SGD_MultiStepLR_24;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.3;99.2087326;100;0.002154112
mnist;10;lenet3;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;24;wm_exponential_exponentialnew_lenet3_50_SGD_MultiStepLR_24;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.4;99.2087326;100;0.004300594
mnist;10;lenet3;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;24;wm_exponential_exponentialnew_lenet3_50_SGD_MultiStepLR_24;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.5;99.2087326;100;0.002688169
